species,p_value
Vibrio_alginolyticus,
Clostridium_saccharolyticum,
Dyadobacter_fermentans,
Selenomonas_bovis,
Prevotella_dentalis,
Kingella_potus,0.5701699724963722
Microlunatus_soli,
Streptococcus_oligofermentans,0.10116105881500473
Leuconostoc_mesenteroides,
Hespellia_porcina,
Microbacterium_lacticum,
Lachnoanaerobaculum_orale,0.6205363102440582
Actinomyces_catuli,
Sphaerochaeta_globosa,1.0
Selenomonas_noxia,0.12122450301291662
Pyramidobacter_piscolens,0.3935421945288845
Porphyromonas_catoniae,0.9097218891455553
Sphaerochaeta_pleomorpha,
Leptotrichia_buccalis,0.9698499769931556
Bergeriella_denitrificans,0.5036312588983317
Blastocatella_fastidiosa,
Odoribacter_splanchnicus,
Aggregatibacter_actinomycetemcomitans,0.8711511457711205
Prevotella_veroralis,0.8501067391385259
Methylobacterium_komagatae,
Chryseobacterium_elymi,
Desulfovibrio_fairfieldensis,0.23113699116473263
Phenylobacterium_koreense,
Prevotella_corporis,
Chryseobacterium_hagamense,
Bacteroides_heparinolyticus,0.7213634350694587
Neisseria_lactamica,
Caulobacter_fusiformis,
Staphylococcus_saccharolyticus,
Actinomyces_timonensis,0.33046445910149613
Pinus_thunbergii,
Achromobacter_xylosoxidans,0.03173490200213841
Actinomyces_naeslundii,0.13747199804672977
Snodgrassella_alvi,
Paludibacter_propionicigenes,0.38701255487244757
Anaeroarcus_burkinensis,
Weissella_paramesenteroides,
Veillonella_criceti,
Bilophila_wadsworthia,
Mitsuokella_multacida,
Fusobacterium_necrophorum,
Deinococcus_xinjiangensis,
Bacillus_pumilus,0.5842485531772132
Corynebacterium_argentoratense,0.6704052955096476
Porphyromonas_endodontalis,0.025748080821108063
Clostridium_hathewayi,
Clostridium_perfringens,
Acidovorax_caeni,
Bulleidia_extructa,0.6064533744042402
Ancylobacter_abiegnus,
Vogesella_perlucida,
Oxalobacter_formigenes,
Phocaeicola_abscessus,0.4631036183631356
Hydrotalea_flava,
Actinomyces_hyovaginalis,
Paenibacillus_glycanilyticus,
Desulfobulbus_propionicus,0.6704052955096476
Capnocytophaga_sputigena,0.6775849579524755
Brachymonas_chironomi,
Treponema_maltophilum,0.730294171629937
Mogibacterium_neglectum,
Lactobacillus_frumenti,
Neisseria_elongata,0.9698499769931556
Streptococcus_mitis,0.730294171629937
Clostridium_citroniae,
Lactobacillus_reuteri,
Methylosinus_trichosporium,
Streptococcus_equi,
Prevotella_copri,
Actinomyces_oricola,
Bordetella_petrii,
Azonexus_fungiphilus,
Propionivibrio_dicarboxylicus,
Geobacillus_stearothermophilus,
Paraprevotella_clara,
Lactobacillus_vaginalis,
Paracoccus_yeei,
Peptoniphilus_lacrimalis,
Kingella_oralis,0.38395703557388927
Staphylococcus_pasteuri,
Corynebacterium_glutamicum,
Brevundimonas_staleyi,
Eubacterium_nodatum,0.2550451754243619
Peptoniphilus_asaccharolyticus,
Actinomyces_suimastitidis,
Alloscardovia_omnicolens,
Anaerovorax_odorimutans,
Methylobacterium_hispanicum,
Prevotella_maculosa,0.18587673236587576
Klebsiella_pneumoniae,
Leuconostoc_fallax,
Lactobacillus_mucosae,
Gelria_glutamica,
Lactobacillus_delbrueckii,
Intestinimonas_butyriciproducens,
Pelospora_glutarica,
Bifidobacterium_dentium,0.08369666249056641
Capnocytophaga_granulosa,0.7337299956962472
Treponema_socranskii,0.3447042220069576
Gardnerella_vaginalis,
Propionibacterium_acidifaciens,0.23113699116473263
Veillonella_rodentium,1.0
Microbacterium_aurum,
Salinicoccus_albus,
Rothia_aeria,0.47267559351158717
Capnocytophaga_haemolytica,0.3529711643543677
Thermomonas_brevis,
Peptostreptococcus_anaerobius,
Acinetobacter_gerneri,
Escherichia.Shigella_coli,0.5036312588983317
Selenomonas_flueggei,0.9077677647776123
Treponema_bryantii,
Lactuca_sativa,
Rothia_nasimurium,
Desulfobulbus_rhabdoformis,0.2302122470181358
Cloacibacillus_evryensis,
Bacillus_circulans,
Treponema_vincentii,0.24114462621608423
Alloprevotella_tannerae,0.3447042220069576
Porphyromonas_gingivalis,0.5707503880581739
Streptococcus_intermedius,
Aquicella_siphonis,
Rhodococcus_erythropolis,
Treponema_porcinum,
Desulfobulbus_elongatus,
Enterobacter_ludwigii,
Actinomyces_oris,0.3935421945288845
Prevotella_melaninogenica,0.3074894566186813
Proteiniphilum_acetatigenes,
Arsenicicoccus_piscis,
Pseudoxanthomonas_mexicana,
Lactococcus_plantarum,
Mycoplasma_salivarium,0.3529711643543677
Streptobacillus_moniliformis,0.0464220952173477
Kingella_kingae,
Tannerella_forsythia,0.14046504815835495
Pigmentiphaga_daeguensis,
Clostridium_cylindrosporum,
Flavobacterium_ummariense,
Prevotella_jejuni,
Solobacterium_moorei,0.9698499769931556
Suttonella_ornithocola,
Neisseria_mucosa,0.4273553138978077
Acholeplasma_brassicae,
Campylobacter_curvus,0.8711511457711205
Treponema_parvum,0.23113699116473263
Fructobacillus_fructosus,
Treponema_lecithinolyticum,0.4672752465502792
Haemophilus_parainfluenzae,0.21229383619233155
Klebsiella_oxytoca,
Capnocytophaga_leadbetteri,1.0
Aminomonas_aminovorus,
Actinomyces_israelii,
Lachnoanaerobaculum_umeaense,0.6775849579524755
Serratia_ureilytica,
Selenomonas_infelix,0.27303633975118835
Anaerococcus_vaginalis,
Actinomyces_turicensis,
Bacillus_funiculus,
Acidovorax_valerianellae,
Acinetobacter_tjernbergiae,
Pediococcus_pentosaceus,
Mycoplasma_arginini,
Parvimonas_micra,0.12122450301291662
Vagococcus_lutrae,
Orientia_tsutsugamushi,0.27285596848712856
Clostridium_symbiosum,
Pasteurella_bettyae,
Naumannella_halotolerans,1.0
Enterobacter_mori,
Leptotrichia_amnionii,
Campylobacter_gracilis,0.9698499769931556
Capnocytophaga_gingivalis,0.3447042220069576
Xanthomonas_oryzae,
Neisseria_meningitidis,0.3846730627355087
Murdochiella_asaccharolytica,0.5842485531772132
Lactococcus_raffinolactis,
Paracoccus_chinensis,
Weissella_cibaria,
Lachnoanaerobaculum_saburreum,0.570605503511469
Bacillus_weihenstephanensis,
Deinococcus_radiodurans,
Corynebacterium_propinquum,
Prevotella_shahii,0.7614975975683588
Prevotella_saccharolytica,0.27303633975118835
Propionicicella_superfundia,
Alkaliphilus_crotonatoxidans,
Moraxella_nonliquefaciens,
Elizabethkingia_meningoseptica,
Chryseobacterium_piscicola,0.4282580450167388
Agrobacterium_larrymoorei,
Simkania_negevensis,
Eubacterium_sulci,0.4273553138978077
Methylobacterium_aerolatum,
Treponema_denticola,0.24114462621608423
Propionivibrio_limicola,
Tepidimonas_fonticaldi,
Fuchsiella_alkaliacetigena,
Bifidobacterium_breve,
Aquabacterium_commune,
Klebsiella_variicola,
Bacillus_coagulans,
Psychrobacter_immobilis,
Veillonella_parvula,0.7913367801006604
Kocuria_kristinae,
Peptostreptococcus_russellii,
Aquaspirillum_serpens,
Laribacter_hongkongensis,1.0
Weissella_fabaria,
Rubellimicrobium_thermophilum,
Agrobacterium_albertimagni,
Streptococcus_gordonii,0.02287558826455316
Roseateles_depolymerans,
Actinomyces_georgiae,0.40532234382219123
Vitreoscilla_stercoraria,
Streptococcus_rubneri,
Eubacterium_pyruvativorans,
Delftia_tsuruhatensis,0.6704052955096476
Propionibacterium_avidum,
Atopobium_parvulum,0.6775849579524755
Prosthecobacter_debontii,
Pantoea_agglomerans,
Neisseria_pharyngis,0.8489805089481078
Actinomyces_funkei,
Olsenella_uli,0.2350628028300883
Propionibacterium_granulosum,
Ralstonia_insidiosa,
Niabella_yanshanensis,
Lactobacillus_oris,1.0
Porphyromonas_uenonis,0.5036312588983317
Peptoniphilus_koenoeneniae,
Treponema_refringens,0.11334252907708924
Polyangium_brachysporum,0.2795593530933159
Dysgonomonas_oryzarvi,
Peptostreptococcus_stomatis,0.08897301170181328
Actinobacillus_succinogenes,
Cardiobacterium_valvarum,0.1613408224336783
Gemella_palaticanis,
Odoribacter_denticanis,0.6548256938652379
Enterobacter_hormaechei,
Haemophilus_influenzae,0.7337299956962472
Prevotella_marshii,0.8468876804079128
Rhizobium_cnuense,
Burkholderia_multivorans,
Acinetobacter_bouvetii,
Gemella_haemolysans,0.3846730627355087
Streptococcus_orisasini,
Olsenella_profusa,0.8500510248972775
Actinobacillus_rossii,
Cryptobacterium_curtum,0.14760325641589783
Anoxybacillus_flavithermus,
Acidaminococcus_intestini,
Vibrio_rumoiensis,
Desulfovibrio_piger,
Actinomyces_meyeri,0.17215763257408945
Pasteurella_multocida,
Negativicoccus_succinicivorans,
Vagococcus_salmoninarum,
Neisseria_bacilliformis,0.8711511457711205
Demetria_terragena,
Acidithiobacillus_thiooxidans,0.5036312588983317
Clostridium_caminithermale,
Scardovia_wiggsiae,0.1485030692558927
Propionibacterium_propionicum,0.6774705127728922
Sphingobacterium_daejeonense,
Aquabacterium_parvum,
Actinomyces_cardiffensis,0.03173490200213841
Anaerococcus_octavius,
Abiotrophia_defectiva,0.07566157214388704
Brevundimonas_vesicularis,
Ruminofilibacter_xylanolyticum,
Alcanivorax_venustensis,
Fusobacterium_canifelinum,
Gemella_asaccharolytica,
Selenomonas_artemidis,0.13511721277677927
Filifactor_villosus,
Campylobacter_ureolyticus,
Asteroleplasma_anaerobium,0.5036312588983317
Filifactor_alocis,0.04515456962427901
Moraxella_bovis,
Sphingobacterium_multivorum,
Methylobacterium_aquaticum,
Schlegelella_aquatica,
Paenibacillus_illinoisensis,
Neisseria_gonorrhoeae,
Mycoplasma_orale,0.01874715760160069
Lactobacillus_equicursoris,
Cytophaga_fermentans,
Corynebacterium_mustelae,
Flavobacterium_resistens,
Butyrivibrio_proteoclasticus,0.7562217044097798
Eubacterium_desmolans,
Fretibacterium_fastidiosum,0.16197241048012612
Kurthia_gibsonii,
Prevotella_timonensis,
Lactococcus_fujiensis,
Coprococcus_comes,
Catabacter_hongkongensis,
Prevotella_oris,0.025748080821108063
Paracoccus_sphaerophysae,
Mycoplasma_feliminutum,1.0
Prevotella_nigrescens,0.6775849579524755
Shinella_yambaruensis,
Pasteurella_pneumotropica,0.3059045056966849
Prevotella_disiens,
Chryseobacterium_bovis,
Nocardioides_tritolerans,
Bdellovibrio_bacteriovorus,
Streptococcus_downei,
Petrobacter_succinatimandens,
Natranaerovirga_hydrolytica,0.10116105881500473
Lactobacillus_gasseri,
Desulfovibrio_legallii,
Desulfovibrio_vulgaris,
Neisseria_dentiae,0.4562028338837304
Cronobacter_sakazakii,
Stenoxybacter_acetivorans,
Bacillus_subtilis,
Corynebacterium_falsenii,
Christensenella_minuta,
Streptococcus_cristatus,
Bacillus_ginsengihumi,
Mitsuokella_jalaludinii,
Eggerthia_catenaformis,
Enterococcus_faecalis,
Slackia_exigua,0.5624049275942742
Acinetobacter_baylyi,
Comamonas_denitrificans,
Sporanaerobacter_acetigenes,
Brevundimonas_viscosa,
Actinobacillus_porcinus,
Achromobacter_denitrificans,
Prevotella_falsenii,
Acinetobacter_bereziniae,
Gemella_morbillorum,0.9097218891455553
Serratia_marcescens,
Prevotella_multiformis,0.5906827555913553
Lactobacillus_casei,
Weissella_ghanensis,
Corynebacterium_matruchotii,0.5205228832757727
Limnobacter_thiooxidans,
Mobiluncus_mulieris,0.8310907900849374
Serratia_liquefaciens,
Staphylococcus_sciuri,
Streptococcus_thermophilus,0.5205228832757727
Leptotrichia_trevisanii,0.5205228832757727
Leuconostoc_citreum,
Streptococcus_pyogenes,
Staphylococcus_epidermidis,
Lactobacillus_brevis,
Moraxella_canis,
Pseudomonas_cichorii,
Barnesiella_viscericola,
Bacteroides_pyogenes,
Conchiformibius_steedae,
Telmatospirillum_siberiense,
Bacteroides_intestinalis,0.7333439595749962
Actinobacillus_ureae,
Daucus_carota,
Chryseobacterium_anthropi,
Trichococcus_flocculiformis,
Prevotella_aurantiaca,0.5114963639682382
Tetragenococcus_osmophilus,
Aeromonas_veronii,
Atopostipes_suicloacalis,
Streptococcus_lactarius,0.4961297149428171
Actinomyces_viscosus,0.6704052955096476
Actinomyces_radicidentis,
Brachymonas_denitrificans,0.9694454571701977
Propionibacterium_australiense,
Campylobacter_showae,0.4946648397254585
Chryseobacterium_hominis,
Schwartzia_succinivorans,0.08897301170181328
Acinetobacter_johnsonii,
Pasteurella_langaaensis,
Mannheimia_haemolytica,
Propionivibrio_pelophilus,
Aeromonas_hydrophila,
Wautersiella_falsenii,
Pseudomonas_aeruginosa,
Jonesia_denitrificans,
Prevotella_bivia,0.5036312588983317
Sediminibacterium_salmoneum,
Lautropia_mirabilis,0.18587673236587576
Lactobacillus_paracasei,
Acinetobacter_haemolyticus,
Streptococcus_sinensis,0.5446699621463623
Succiniclasticum_ruminis,0.6704052955096476
Haemophilus_ducreyi,
Prevotella_oulorum,0.7337299956962472
Haemophilus_haemoglobinophilus,
Mycoplasma_auris,
Lactobacillus_fermentum,
Streptococcus_peroris,0.5184312812106575
Porphyromonas_circumdentaria,0.5842485531772132
Granulicatella_balaenopterae,
Psychrobacter_sanguinis,
Sphingobacterium_kyonggiense,
Stomatobaculum_longum,0.18587673236587576
Albidiferax_ferrireducens,
Xylanibacter_oryzae,
Cellvibrio_mixtus,
Eubacterium_brachy,0.3067609561706547
Campylobacter_mucosalis,
Acinetobacter_calcoaceticus,
Veillonella_rogosae,0.9698499769931556
Haemophilus_pittmaniae,0.3844942826161789
Bacillus_endophyticus,
Bosea_minatitlanensis,
Cellulosilyticum_ruminicola,
Lampropedia_hyalina,
Treponema_pectinovorum,1.0
Veillonella_tobetsuensis,0.9077677647776123
Neisseria_oralis,0.21212191786139534
Mogibacterium_timidum,0.5036312588983317
Prevotella_histicola,0.47267559351158717
Staphylococcus_kloosii,
Acinetobacter_schindleri,
Lactobacillus_johnsonii,
Hydrocarboniphaga_daqingensis,
Cellvibrio_fibrivorans,
Treponema_calligyrum,
Austwickia_chelonae,
Prevotella_fusca,0.8941551428492122
Campylobacter_rectus,0.9568829891119314
Streptococcus_equinus,0.18587673236587576
Dorea_formicigenerans,
Sphingomonas_koreensis,
Tetragenococcus_halophilus,
Lactobacillus_iners,
Lactobacillus_amylovorus,
Moraxella_lacunata,
Lysobacter_pocheonensis,
Flavisolibacter_ginsengiterrae,
Arthrobacter_uratoxydans,
Morococcus_cerebrosus,0.5036312588983317
