species,p_value,mean_control,mean_diseased
Vibrio_alginolyticus,,0.0,0.0
Clostridium_saccharolyticum,,0.0,0.0
Dyadobacter_fermentans,,0.0,3.1200020621653644e-06
Selenomonas_bovis,,0.0,0.0
Prevotella_dentalis,,8.260001106698528e-06,0.0
Kingella_potus,0.5701699724963722,0.0004698591051518499,0.0010939893011087558
Microlunatus_soli,,0.0,0.0
Streptococcus_oligofermentans,0.10116105881500473,4.6041740909221957e-05,1.9199997663154847e-06
Leuconostoc_mesenteroides,,0.0,0.0
Hespellia_porcina,,0.0,0.0
Microbacterium_lacticum,,0.0,0.0
Lachnoanaerobaculum_orale,0.6205363102440582,0.0006797568366994493,0.0005367737069494063
Actinomyces_catuli,,0.0,1.5600010310826822e-06
Sphaerochaeta_globosa,1.0,1.9500021032459446e-06,1.5600010310826822e-06
Selenomonas_noxia,0.12122450301291662,0.0014264540796747808,0.0011899544217292084
Pyramidobacter_piscolens,0.3935421945288845,4.75980814228483e-05,0.00015913062098715647
Porphyromonas_catoniae,0.9097218891455553,0.05340942354835865,0.04241467640486857
Sphaerochaeta_pleomorpha,,0.0,0.0
Leptotrichia_buccalis,0.9698499769931556,0.006327935566464082,0.006748537365712555
Bergeriella_denitrificans,0.5036312588983317,4.200000414534911e-06,1.7299979993673419e-06
Blastocatella_fastidiosa,,0.0,6.2500041309402335e-06
Odoribacter_splanchnicus,,0.0,0.0
Aggregatibacter_actinomycetemcomitans,0.8711511457711205,2.7115645176021176e-05,0.0008422706860380675
Prevotella_veroralis,0.8501067391385259,0.012082013748732075,0.00256747447255391
Methylobacterium_komagatae,,0.0,0.0
Chryseobacterium_elymi,,0.0,0.0
Desulfovibrio_fairfieldensis,0.23113699116473263,2.8025264547312967e-05,7.739998563054137e-06
Phenylobacterium_koreense,,0.0,0.0
Prevotella_corporis,,2.690001571082503e-06,0.0
Chryseobacterium_hagamense,,0.0,0.0
Bacteroides_heparinolyticus,0.7213634350694587,0.0007177341917488949,0.00019040405146549314
Neisseria_lactamica,,4.1374741117477596e-05,0.0
Caulobacter_fusiformis,,0.0,9.370006193105599e-06
Staphylococcus_saccharolyticus,,0.0,0.0
Actinomyces_timonensis,0.33046445910149613,0.00015704407522196444,3.7182264806517525e-05
Pinus_thunbergii,,0.0,0.0
Achromobacter_xylosoxidans,0.03173490200213841,1.2789997776603104e-05,7.774247882232145e-05
Actinomyces_naeslundii,0.13747199804672977,0.00014982784368137864,0.0003998247902995888
Snodgrassella_alvi,,0.0,3.0317343434014996e-05
Paludibacter_propionicigenes,0.38701255487244757,7.279995622577608e-06,3.1200020621653644e-06
Anaeroarcus_burkinensis,,0.0,0.0
Weissella_paramesenteroides,,0.0,0.0
Veillonella_criceti,,0.0,0.0
Bilophila_wadsworthia,,0.0,8.570005134630308e-06
Mitsuokella_multacida,,0.0,5.749999300163562e-06
Fusobacterium_necrophorum,,0.0,0.0
Deinococcus_xinjiangensis,,0.0,6.2500041309402335e-06
Bacillus_pumilus,0.5842485531772132,2.2499983112889665e-06,5.109998374482491e-06
Corynebacterium_argentoratense,0.6704052955096476,7.803516093767116e-05,2.614613390673898e-05
Porphyromonas_endodontalis,0.025748080821108063,0.011278439436718052,0.0058732311586270364
Clostridium_hathewayi,,0.0,0.0
Clostridium_perfringens,,0.0,0.0
Acidovorax_caeni,,0.0,0.0
Bulleidia_extructa,0.6064533744042402,0.00010029252026235065,0.00023374055304155057
Ancylobacter_abiegnus,,0.0,0.0
Vogesella_perlucida,,0.0,0.0
Oxalobacter_formigenes,,0.0,0.0
Phocaeicola_abscessus,0.4631036183631356,0.00013423648753068155,0.00018341956724634794
Hydrotalea_flava,,0.0,0.0
Actinomyces_hyovaginalis,,0.0,0.0
Paenibacillus_glycanilyticus,,0.0,0.0
Desulfobulbus_propionicus,0.6704052955096476,4.200000414534911e-06,4.0399954825202745e-06
Capnocytophaga_sputigena,0.6775849579524755,0.005471569399015582,0.009115642570296928
Brachymonas_chironomi,,0.0,0.0
Treponema_maltophilum,0.730294171629937,0.00012150795887734685,0.0001699671522985458
Mogibacterium_neglectum,,0.0,0.0
Lactobacillus_frumenti,,0.0,1.9199997663154847e-06
Neisseria_elongata,0.9698499769931556,0.004634685296974333,0.00441032543360775
Streptococcus_mitis,0.730294171629937,3.300000270441659e-05,4.709049554009526e-05
Clostridium_citroniae,,0.0,0.0
Lactobacillus_reuteri,,0.0,2.7337101551114864e-05
Methylosinus_trichosporium,,0.0,1.5600010310826822e-06
Streptococcus_equi,,0.0,0.0
Prevotella_copri,,0.0,0.0
Actinomyces_oricola,,0.0,1.209355569457199e-05
Bordetella_petrii,,0.0,0.0
