species,p_value,q_value,mean_control,mean_diseased,direction,log2FC,abs_log2FC
Lactobacillus_delbrueckii,,,0.0,0.00012454879787012938,1,6.972104404643749,6.972104404643749
Acidithiobacillus_thiooxidans,0.5036312588983317,0.9300008847860473,2.2899976704790305e-06,0.00034457213444372023,1,6.714756516358044,6.714756516358044
Lactobacillus_fermentum,,,0.0,0.00010019490236634042,1,6.660992806723619,6.660992806723619
Parascardovia_denticolens,,,0.0,9.200159883242103e-05,1,6.539183613342201,6.539183613342201
Moraxella_bovoculi,0.12358420113551419,0.8739754990351924,0.00037621327026921974,4.0399954825202745e-06,-1,-6.225814179733466,6.225814179733466
Lactuca_sativa,,,0.0,6.287934713802566e-05,1,5.997277663028714,5.997277663028714
Neisseria_lactamica,,,4.1374741117477596e-05,0.0,-1,-5.405132649220778,5.405132649220778
Negativicoccus_succinicivorans,,,0.0,3.8795432618752444e-05,1,5.314530954892585,5.314530954892585
Deinococcus_ficus,,,0.0,3.2799197018629285e-05,1,5.078917067104813,5.078917067104813
Snodgrassella_alvi,,,0.0,3.0317343434014996e-05,1,4.968889932767818,4.968889932767818
