species,p_value,q_value,mean_control,mean_diseased,direction,log2FC
Selenomonas_dianae,0.018660759324487613,0.8739754990351924,0.0006293822190353037,0.00018545816389976092,-1,-1.7573748762135228
Mycoplasma_orale,0.01874715760160069,0.8739754990351924,6.328509546812139e-05,4.2800025643194535e-06,-1,-3.605873751383608
Eubacterium_infirmum,0.0211339281291611,0.8739754990351924,0.0006419836600975095,0.0002190544348620531,-1,-1.546921628004149
Streptococcus_gordonii,0.02287558826455316,0.8739754990351924,7.530002018872077e-06,7.630980894435436e-05,1,3.1800334844806124
Porphyromonas_endodontalis,0.025748080821108063,0.8739754990351924,0.011278439436718052,0.0058732311586270364,-1,-0.9412234269377628
Prevotella_oris,0.025748080821108063,0.8739754990351924,0.0022677453184280455,0.006742352470328515,1,1.5715713421999251
Actinomyces_cardiffensis,0.03173490200213841,0.8739754990351924,0.00015947282472966623,3.253124371259919e-05,-1,-2.258751104377769
Achromobacter_xylosoxidans,0.03173490200213841,0.8739754990351924,1.2789997776603104e-05,7.774247882232145e-05,1,2.5135199051757486
Streptococcus_oralis,0.034857087101444084,0.8739754990351924,5.0400001350573596e-06,2.4079987068780476e-05,1,2.0539161173654756
Treponema_pedis,0.03571153595057968,0.8739754990351924,0.0002634276993044888,3.2305542899419136e-05,-1,-2.989039105839391
